"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201420,HM,1,BIB,PHI,262,34349,Contemporary Issues,1400,1450,MWF,RUPP,203,A,James Spiegel,3,3,25,-3,,YES
201420,HM,1,BIB,PHI,311,35831,Medical Ethics,900,950,MWF,READE,128,A,Stephen Phillips,3,3,25,14,,
201420,HM,1,BIB,PHI,323,30047,Wrld Religions:Eastern Trad-CC,1400,1515,TR,EULER,100,A,Kevin Diller,3,3,25,1,,
201420,HM,1,BIB,PHI,382,34979,Ethics Bowl,1700,1830,TR,READE,119,A,James Spiegel,1,1,10,6,YES,
201420,HM,1,BIB,PHI,382H,34980,Ethics Bowl-Hon,1700,1830,TR,READE,119,A,James Spiegel,1,1,12,12,YES,
201420,HM,1,BIB,PHI,413,30049,Contemporary Christian Belief,1100,1150,MWF,RA,SR,A,Kevin Diller,3,3,40,-6,,YES
201420,HM,1,BIB,PHI,413,30050,Contemporary Christian Belief,1400,1450,MWF,AYRES,215,A,Kevin Diller,3,3,45,-5,,YES
201420,HM,1,BIB,PHI,413,33674,Contemporary Christian Belief,1230,1345,TR,AYRES,215,A,Bradley Seeman,3,3,45,9,,
201420,HM,1,BIB,PHI,413,35893,Contemporary Christian Belief,1100,1150,MWF,RUPP,205,A,James Spiegel,3,3,25,-2,,YES
201420,HM,1,BIB,PHI,413,36028,IS Contemp Christian Belief,,,,,,I,Bradley Seeman,3,3,1,0,YES,YES
201420,HM,1,BIB,PHI,413H,35383,Contemp Christian Belief-Hon,1500,1550,MWF,AYRES,215,A,Kevin Diller,3,3,15,0,,YES
201420,HM,1,BIB,PHI,420,35804,Continental Philosophy,1800,2015,M,AYRES,112,A,Bradley Seeman,3,3,15,6,,
201420,HM,1,BIB,PHI,445,35773,Philosophy of Mind,1530,1645,TR,EULER,118,A,James Spiegel,3,3,25,14,,
201420,HM,1,BIB,PHI,452,30052,Philosophy of Religion-SP,1230,1345,TR,READE,119,A,James Spiegel,3,3,25,22,YES,
201420,HM,1,BIB,REL,313,31259,Historic Christian Belief,1500,1550,MWF,READE,211,A,Joseph Pak,3,3,45,0,,YES
